feature_index,feature_name,description,category,importance_score
f34,growth_condition_code,No description available,Unknown category,5572.13427734375
f19,pl_bark_thick,No description available,Unknown category,1266.4169921875
f5,sw_in,No description available,Unknown category,890.3829345703125
f8,longitude,No description available,Unknown category,813.8657836914062
f3,ppfd_in,No description available,Unknown category,813.3666381835938
f7,latitude,No description available,Unknown category,771.105712890625
f10,mean_annual_temp,No description available,Unknown category,526.8295288085938
f9,elevation,No description available,Unknown category,356.58245849609375
f20,pl_sapw_area,No description available,Unknown category,318.50860595703125
f38,species_functional_group_code,No description available,Unknown category,303.8369445800781
f2,vpd,No description available,Unknown category,231.36842346191406
f12,stand_height,No description available,Unknown category,173.55331420898438
f16,pl_dbh,No description available,Unknown category,125.86376953125
f18,pl_leaf_area,No description available,Unknown category,121.61186218261719
f35,pl_social_code,No description available,Unknown category,118.63175201416016
f6,ext_rad,No description available,Unknown category,113.91165924072266
f17,pl_height,No description available,Unknown category,110.98262023925781
f28,sapwood_leaf_ratio,No description available,Unknown category,99.65584564208984
f23,aridity_index_legacy,No description available,Unknown category,95.65554809570312
f29,tree_volume_index,No description available,Unknown category,87.87749481201172
f45,basal_area,No description available,Unknown category,61.295833587646484
f1,rh,No description available,Unknown category,55.41884994506836
f41,clay_percentage,No description available,Unknown category,47.35873031616211
f27,social_status_code,No description available,Unknown category,46.44835662841797
f4,swc_shallow,No description available,Unknown category,44.07860565185547
f21,pl_sapw_depth,No description available,Unknown category,42.65167999267578
f36,tree_size_class_code,No description available,Unknown category,41.68391799926758
f0,ta,No description available,Unknown category,37.95478057861328
f13,leaf_area_index,No description available,Unknown category,36.74459457397461
f25,biome_code,No description available,Unknown category,36.1815299987793
f46,tree_density,No description available,Unknown category,33.602928161621094
f14,n_trees,No description available,Unknown category,28.496536254882812
f39,ws,No description available,Unknown category,28.48227310180664
f37,tree_age_class_code,No description available,Unknown category,26.233266830444336
f42,sand_percentage,No description available,Unknown category,24.19158935546875
f11,mean_annual_precip,No description available,Unknown category,23.586097717285156
f47,soil_depth,No description available,Unknown category,22.79649543762207
f26,igbp_code,No description available,Unknown category,15.677301406860352
f15,pl_age,No description available,Unknown category,8.486305236816406
f40,precip,No description available,Unknown category,4.84689998626709
