feature_index,feature_name,importance
f69,species_functional_group_code,1621532.125
f22,stand_age,701612.125
f13,mean_annual_temp,70879.703125
f73,silt_percentage,34996.71875
f10,longitude,17626.8828125
f7,ext_rad,15985.384765625
f12,vpd_ppfd_interaction,15176.173828125
f58,tree_volume_index,12666.330078125
f57,social_status_code,12452.2587890625
f16,temp_humidity_ratio,12348.005859375
f74,basal_area,11583.3916015625
f71,clay_percentage,11487.5146484375
f76,leaf_area_index,11411.79296875
f8,latitude,9772.7919921875
f40,pl_sapw_area,8414.341796875
f41,pl_sapw_depth,8232.59375
f6,ppfd_in,7002.08203125
f37,pl_height,6577.12646484375
f2,vpd,6077.27099609375
f26,n_trees,5584.34130859375
f53,net_radiation,5413.98193359375
f1,rh,5044.55517578125
f36,pl_dbh,5028.96044921875
f11,elevation,4816.1337890625
f39,pl_bark_thick,4194.66650390625
f17,water_stress_index,3682.618408203125
f30,stomatal_control_index,3578.11376953125
f5,precip,3018.8642578125
f46,pet_oudin_mm_day,2494.452392578125
f43,aridity_index_legacy,2494.098388671875
f75,tree_density,2470.7197265625
f42,latitude_abs,2443.728759765625
f15,mean_annual_precip,2435.04345703125
f67,tree_size_class_code,2135.76806640625
f9,ppfd_efficiency,2104.968994140625
f49,air_pressure_kpa,1984.51806640625
f51,net_shortwave_radiation,1816.727294921875
f21,radiation_temp_interaction,1808.8812255859375
f28,stomatal_conductance_proxy,1500.39111328125
f14,vpd_ta_interaction,1384.2127685546875
f3,sw_in,1349.4688720703125
f20,wind_vpd_interaction,1269.1641845703125
f44,ext_rad_fao56,1223.3812255859375
f24,stand_height,1159.22216796875
f45,daylight_hours,1156.523193359375
f52,net_longwave_radiation,951.6214599609375
f54,leaf_habit_code,924.8896484375
f25,soil_depth,846.4979248046875
f47,sat_vapor_pressure_kpa,842.0079345703125
f4,ws,733.6458129882812
f19,temp_soil_interaction,663.5994873046875
f35,pl_age,649.6004028320312
f70,swc_shallow,638.95654296875
f48,slope_vapor_pressure_curve,636.4534912109375
f29,wind_stress,606.711669921875
f31,light_efficiency_ext,585.8668212890625
f50,psychrometric_constant,566.7638549804688
f18,light_efficiency,520.9835205078125
f0,ta,473.4897766113281
f27,temp_deviation,472.8508605957031
f55,biome_code,461.9563293457031
f33,sapwood_leaf_ratio,416.2374267578125
f23,humidity_soil_interaction,340.4042663574219
f38,pl_leaf_area,310.7679748535156
f77,swc_deep,286.4979248046875
f68,tree_age_class_code,198.49188232421875
f66,pl_social_code,101.16129302978516
f63,soil_texture_code,88.20756530761719
