feature_index,feature_name,importance
f59,clay_percentage,333139.125
f60,sand_percentage,191689.28125
f6,ext_rad,75442.8125
f61,silt_percentage,71728.875
f49,igbp_class_code,37919.234375
f9,longitude,7662.73095703125
f11,mean_annual_temp,7113.6767578125
f7,latitude,6314.24267578125
f16,temp_deviation,3272.440673828125
f39,latitude_abs,3159.76220703125
f15,vpd_ta_interaction,3104.509765625
f36,pl_bark_thick,2938.946044921875
f28,stomatal_control_index,2926.92333984375
f1,rh,2566.0048828125
f50,soil_texture_code,2490.2080078125
f41,leaf_habit_code,2444.799072265625
f12,mean_annual_precip,2438.5439453125
f51,terrain_code,2209.25244140625
f2,vpd,2194.60693359375
f40,aridity_index,2179.85595703125
f13,vpd_ppfd_interaction,2014.4405517578125
f10,elevation,2003.610595703125
f62,stand_age,1973.70068359375
f14,stand_height,1897.40869140625
f18,temp_humidity_ratio,1698.621826171875
f24,radiation_temp_interaction,1633.295166015625
f64,tree_density,1608.1422119140625
f38,pl_sapw_depth,1408.3055419921875
f63,basal_area,1405.8560791015625
f17,leaf_area_index,1205.4874267578125
f44,social_status_code,1122.570556640625
f37,pl_sapw_area,1111.46484375
f35,pl_leaf_area,1109.8385009765625
f22,temp_soil_interaction,1056.7364501953125
f33,pl_dbh,948.195556640625
f25,n_trees,903.4247436523438
f19,water_stress_index,795.800537109375
f65,soil_depth,724.6105346679688
f3,ppfd_in,666.4024047851562
f56,species_functional_group_code,649.8955688476562
f20,light_efficiency,644.157958984375
f45,tree_volume_index,634.207763671875
f8,ppfd_efficiency,607.9027709960938
f21,stomatal_conductance_proxy,588.51171875
f5,sw_in,536.8648071289062
f4,swc_shallow,535.0886840820312
f55,tree_age_class_code,510.86279296875
f53,pl_social_code,466.4495544433594
f32,pl_age,437.5365905761719
f43,igbp_code,365.6847229003906
f52,growth_condition_code,364.0029296875
f26,humidity_soil_interaction,352.5805969238281
f34,pl_height,315.07470703125
f58,precip,302.934814453125
f57,ws,285.8710021972656
f54,tree_size_class_code,273.4693298339844
f0,ta,260.9624328613281
f27,wind_stress,253.95947265625
f23,wind_vpd_interaction,253.500244140625
f30,sapwood_leaf_ratio,244.99044799804688
