feature_index,feature_name,description,category,importance_score
f63,basal_area,No description available,Unknown category,18514.583984375
f12,elevation,No description available,Unknown category,6244.6376953125
f62,silt_percentage,No description available,Unknown category,5230.5244140625
f64,tree_density,No description available,Unknown category,4168.712890625
f24,stand_height,No description available,Unknown category,3647.552734375
f18,light_efficiency,No description available,Unknown category,2987.6982421875
f30,n_trees,No description available,Unknown category,2198.67578125
f11,vpd_ppfd_interaction,No description available,Unknown category,1898.00634765625
f25,soil_depth,No description available,Unknown category,1811.4425048828125
f41,latitude_abs,No description available,Unknown category,1793.7598876953125
f52,soil_texture_code,No description available,Unknown category,1164.8641357421875
f65,leaf_area_index,No description available,Unknown category,1010.8529052734375
f42,aridity_index,No description available,Unknown category,1003.7601318359375
f51,igbp_class_code,No description available,Unknown category,946.254638671875
f23,stand_age,No description available,Unknown category,898.9876098632812
f10,longitude,No description available,Unknown category,857.6061401367188
f37,pl_leaf_area,No description available,Unknown category,724.3521728515625
f9,latitude,No description available,Unknown category,642.1563110351562
f39,pl_sapw_area,No description available,Unknown category,614.8948974609375
f2,vpd,No description available,Unknown category,574.25244140625
f55,pl_social_code,No description available,Unknown category,557.8211059570312
f13,vpd_ta_interaction,No description available,Unknown category,556.5828857421875
f21,radiation_temp_interaction,No description available,Unknown category,454.1285705566406
f47,tree_volume_index,No description available,Unknown category,415.4711608886719
f46,social_status_code,No description available,Unknown category,366.275634765625
f14,mean_annual_temp,No description available,Unknown category,347.7328186035156
f7,ext_rad,No description available,Unknown category,342.03594970703125
f32,sapwood_leaf_ratio,No description available,Unknown category,323.2384033203125
f17,water_stress_index,No description available,Unknown category,282.8941650390625
f60,clay_percentage,No description available,Unknown category,275.9038391113281
f45,igbp_code,No description available,Unknown category,173.2993621826172
f36,pl_height,No description available,Unknown category,171.1312255859375
f56,tree_size_class_code,No description available,Unknown category,168.75291442871094
f35,pl_dbh,No description available,Unknown category,162.60841369628906
f15,temp_humidity_ratio,No description available,Unknown category,158.74700927734375
f38,pl_bark_thick,No description available,Unknown category,145.6676025390625
f40,pl_sapw_depth,No description available,Unknown category,140.18185424804688
f3,sw_in,No description available,Unknown category,136.82565307617188
f34,pl_age,No description available,Unknown category,136.2699432373047
f16,mean_annual_precip,No description available,Unknown category,133.58905029296875
f20,wind_vpd_interaction,No description available,Unknown category,117.66156005859375
f19,temp_soil_interaction,No description available,Unknown category,110.91732025146484
f1,rh,No description available,Unknown category,101.46029663085938
f8,ppfd_efficiency,No description available,Unknown category,96.08238220214844
f59,swc_shallow,No description available,Unknown category,90.88590240478516
f29,stomatal_control_index,No description available,Unknown category,90.19439697265625
f43,leaf_habit_code,No description available,Unknown category,88.77620697021484
f61,sand_percentage,No description available,Unknown category,82.8976821899414
f27,stomatal_conductance_proxy,No description available,Unknown category,82.53272247314453
f26,temp_deviation,No description available,Unknown category,75.19965362548828
f0,ta,No description available,Unknown category,75.10530090332031
f4,ws,No description available,Unknown category,73.08195495605469
f28,wind_stress,No description available,Unknown category,66.42528533935547
f6,ppfd_in,No description available,Unknown category,65.53333282470703
f22,humidity_soil_interaction,No description available,Unknown category,64.90397644042969
f5,precip,No description available,Unknown category,57.72933578491211
f44,biome_code,No description available,Unknown category,33.00929260253906
f54,growth_condition_code,No description available,Unknown category,21.88917350769043
f57,tree_age_class_code,No description available,Unknown category,17.678434371948242
f53,terrain_code,No description available,Unknown category,12.354870796203613
