feature_index,feature_name,description,category,importance_score
f16,soil_depth,No description available,Unknown category,186821.625
f5,ext_rad,No description available,Unknown category,122703.3203125
f32,tree_volume_index,No description available,Unknown category,94520.5234375
f12,stand_height,No description available,Unknown category,86936.7578125
f20,pl_height,No description available,Unknown category,75956.515625
f22,pl_bark_thick,No description available,Unknown category,66916.359375
f23,pl_sapw_area,No description available,Unknown category,40819.50390625
f11,stand_age,No description available,Unknown category,40300.41796875
f46,tree_density,No description available,Unknown category,35100.6953125
f15,silt_percentage,No description available,Unknown category,29900.6640625
f8,elevation,No description available,Unknown category,25287.955078125
f26,aridity_index_legacy,No description available,Unknown category,23829.38671875
f0,ta,No description available,Unknown category,19633.431640625
f10,mean_annual_precip,No description available,Unknown category,16741.28515625
f6,latitude,No description available,Unknown category,16161.1328125
f24,pl_sapw_depth,No description available,Unknown category,13818.05078125
f37,growth_condition_code,No description available,Unknown category,11986.1962890625
f1,rh,No description available,Unknown category,9938.5322265625
f45,basal_area,No description available,Unknown category,9310.16796875
f19,pl_dbh,No description available,Unknown category,8483.2392578125
f25,latitude_abs,No description available,Unknown category,8294.23828125
f47,leaf_area_index,No description available,Unknown category,7881.2109375
f7,longitude,No description available,Unknown category,7872.3583984375
f31,sapwood_leaf_ratio,No description available,Unknown category,7522.50390625
f35,soil_texture_code,No description available,Unknown category,6056.0
f30,social_status_code,No description available,Unknown category,5768.08984375
f14,sand_percentage,No description available,Unknown category,5019.34228515625
f4,vpd,No description available,Unknown category,4861.54736328125
f9,mean_annual_temp,No description available,Unknown category,4785.9013671875
f34,igbp_class_code,No description available,Unknown category,4556.265625
f38,pl_social_code,No description available,Unknown category,4081.645263671875
f41,species_functional_group_code,No description available,Unknown category,4005.721923828125
f39,tree_size_class_code,No description available,Unknown category,4003.916748046875
f44,ppfd_in,No description available,Unknown category,3384.373046875
f18,pl_age,No description available,Unknown category,2801.589111328125
f36,terrain_code,No description available,Unknown category,2782.42431640625
f13,clay_percentage,No description available,Unknown category,2649.287109375
f40,tree_age_class_code,No description available,Unknown category,2444.61328125
f42,sw_in,No description available,Unknown category,2408.0712890625
f17,n_trees,No description available,Unknown category,2368.963134765625
f21,pl_leaf_area,No description available,Unknown category,1835.3980712890625
f43,swc_shallow,No description available,Unknown category,1720.8956298828125
f2,ws,No description available,Unknown category,1201.2255859375
f29,igbp_code,No description available,Unknown category,1181.5115966796875
f48,swc_deep,No description available,Unknown category,931.68310546875
f3,precip,No description available,Unknown category,695.1300048828125
f28,biome_code,No description available,Unknown category,361.0643310546875
f27,leaf_habit_code,No description available,Unknown category,130.02603149414062
